# captureproxy 帧摘要
# 每个 .bin 是去掉 4 字节 Direct TCP 长度前缀之后的 SMB 报文本体。
# 列：序号 方向 连接 长度 命令 摘要
001 c2s conn1    256B NEGOTIATE mid=0 credits=31
002 s2c conn1    284B NEGOTIATE mid=0 credits=1 status=0x00000000
003 c2s conn1    162B SESSION_SETUP mid=1 credits=8192
004 s2c conn1    275B SESSION_SETUP mid=1 credits=1 sid=0xa256c61a status=0xc0000016
005 c2s conn1    562B SESSION_SETUP mid=2 credits=8192 sid=0xa256c61a
006 s2c conn1    101B SESSION_SETUP mid=2 credits=8192 sid=0xa256c61a status=0x00000000 SIGNED
007 c2s conn1    156B TRANSFORM SMB3 加密报文（TRANSFORM_HEADER）
008 s2c conn1    132B TRANSFORM SMB3 加密报文（TRANSFORM_HEADER）
009 c2s conn1    212B TRANSFORM SMB3 加密报文（TRANSFORM_HEADER）
010 s2c conn1    125B TRANSFORM SMB3 加密报文（TRANSFORM_HEADER）
011 c2s conn1    120B TRANSFORM SMB3 加密报文（TRANSFORM_HEADER）
012 s2c conn1    120B TRANSFORM SMB3 加密报文（TRANSFORM_HEADER）
013 c2s conn1    162B TRANSFORM SMB3 加密报文（TRANSFORM_HEADER）
014 s2c conn1    132B TRANSFORM SMB3 加密报文（TRANSFORM_HEADER）
015 c2s conn1    120B TRANSFORM SMB3 加密报文（TRANSFORM_HEADER）
016 s2c conn1    120B TRANSFORM SMB3 加密报文（TRANSFORM_HEADER）
